fold,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
0,0.820680139960428,0.8437131129572262,0.820680139960428,0.8169625656544451,0.24145794689653688,0.5290850470785861,0.824219789310923,0.8268580170868031,0.8255151253923532
1,0.7974179203509216,0.8172724356206195,0.7974179203509216,0.7939736432752136,0.26340241271623865,0.5828263077477329,0.8096610882502918,0.8096335091838222,0.8095897169151312
2,0.7982661451228337,0.8191995151078489,0.7982661451228337,0.7938302795014482,0.2659092460279725,0.585122926436676,0.8096944560665542,0.8128819920448518,0.8112403120262743
3,0.8276467050115616,0.8483757312740452,0.8276467050115616,0.8230653136049186,0.24302367364862382,0.5433212222794244,0.8293483011253714,0.8336840563211898,0.8314497200278654
4,0.7813808536256376,0.8074872939576884,0.7813808536256376,0.7770377951296933,0.2796848368728866,0.606107549287939,0.7920051155012681,0.7964731722451733,0.7941751893830533
5,0.8220896047437836,0.8407084832938355,0.8220896047437836,0.81716396384484,0.242923647003888,0.5366331668762965,0.8269612397301178,0.8320240488165546,0.8294281938205244
6,0.8057173647682806,0.8271539003581286,0.8057173647682806,0.8005525231793773,0.24649665168105145,0.5427219823816689,0.8224814994109637,0.8277194283930993,0.8250051415007147
7,0.8415115292289813,0.8636993369007212,0.8415115292289813,0.8371825826925,0.2268533274275731,0.5144875208063029,0.8457599764339502,0.8429214671171801,0.8443184462703459
8,0.7990359095545303,0.8242604371672075,0.7990359095545303,0.7944256667974472,0.27089601530138524,0.5963671797321334,0.8036596153036788,0.809756207264233,0.8066319318042369
9,0.8297377722974706,0.8490948246350482,0.8297377722974706,0.8255415627109911,0.24023921055995326,0.5312603816587588,0.8304245854842837,0.8329057754654737,0.8316436133070239
