,gini_index,entropy,purity,inverse_purity,f_measure
2,0.23429276981620922,0.535521437808136,0.8435754189944135,0.8435754189944135,0.8435754189944135
15,0.29988307311369417,0.6431578579282231,0.7761194029850746,0.7761194029850746,0.7761194029850746
21,0.20774243483471488,0.49980357828545224,0.8676470588235294,0.8676470588235294,0.8676470588235294
53,0.4180312629269257,0.8516896124819966,0.6538461538461539,0.6538461538461539,0.6538461538461539
72,0.3120382261636724,0.635019029981688,0.7405405405405405,0.7513513513513513,0.745906776341559
75,0.18774649069179222,0.47309657550640316,0.8840579710144928,0.8840579710144928,0.8840579710144928
88,0.2479568291696036,0.552698940380379,0.8369098712446352,0.8369098712446352,0.8369098712446352
93,0.30166085250831015,0.6569382866025891,0.788135593220339,0.788135593220339,0.788135593220339
100,0.0760084925690021,0.18933806489743127,0.9554140127388535,0.9554140127388535,0.9554140127388535
103,0.2968842423825572,0.6529681474841926,0.7761194029850746,0.7761194029850746,0.7761194029850746
104,0.24760259294974815,0.5407384621709663,0.8360655737704918,0.8360655737704918,0.8360655737704918
107,0.21561497326203202,0.46702907711773667,0.8545454545454545,0.8545454545454545,0.8545454545454545
117,0.26213311514075766,0.5838583318472825,0.8195121951219512,0.8195121951219512,0.8195121951219513
122,0.2108682983682984,0.49115910817477115,0.8653846153846154,0.8653846153846154,0.8653846153846154
131,0.2200903849840019,0.5286578145023495,0.8648648648648649,0.8648648648648649,0.8648648648648649
150,0.2245772330041993,0.4954510698130646,0.8426966292134831,0.8426966292134831,0.842696629213483
152,0.30769025461794286,0.661985886251619,0.7643312101910829,0.7643312101910829,0.7643312101910829
180,0.24530156686545304,0.5476546653113501,0.8349514563106796,0.8349514563106796,0.8349514563106796
189,0.24493852921272277,0.5306005579784796,0.8321678321678322,0.8321678321678322,0.8321678321678322
203,0.30657870231984236,0.6460111590870121,0.7525773195876289,0.7474226804123711,0.7499911432316576
