,accuracy,precision,recall,f1
2,0.8595317725752508,0.8876454351962576,0.8595317725752508,0.8552839777019807
15,0.7767857142857143,0.7945068439517452,0.7767857142857143,0.7744528391546053
21,0.8061674008810573,0.8211186757442265,0.8061674008810573,0.8017064584221768
22,0.8246445497630331,0.8447887502977138,0.8246445497630331,0.8187372225301462
38,0.7909604519774012,0.8063566811054993,0.7909604519774012,0.7849697880634205
49,0.8004484304932735,0.8366975266164899,0.8004484304932735,0.8029256707361523
51,0.656140350877193,0.6900825057295644,0.656140350877193,0.6488322493888992
53,0.8486842105263158,0.8719748478758345,0.8486842105263158,0.8468153720176874
55,0.813953488372093,0.8377402798823929,0.813953488372093,0.8048954575213877
58,0.8113879003558719,0.8326254433837533,0.8113879003558719,0.801846284445253
59,0.7740112994350282,0.7901823887289742,0.7740112994350282,0.767432760159403
64,0.7010869565217391,0.7170074490726664,0.7010869565217391,0.6963391021341202
72,0.8571428571428571,0.8709083530106256,0.8571428571428571,0.856386435749586
75,0.8,0.8118648179517745,0.8,0.7986192302224167
88,0.7757731958762887,0.7856434072004738,0.7757731958762887,0.7744503090332022
89,0.8095238095238095,0.8257802937576499,0.8095238095238095,0.8077739238652084
93,0.7346938775510204,0.7487648933842542,0.7346938775510204,0.7286908014516512
100,0.8888888888888888,0.9054707618868161,0.8888888888888888,0.8881784751244582
103,0.7142857142857143,0.76318359375,0.7142857142857143,0.7096589068188035
104,0.8374384236453202,0.8740136281614591,0.8374384236453202,0.8348241463683741
107,0.825136612021858,0.8419908378924772,0.825136612021858,0.818777731885761
108,0.7697368421052632,0.8108493371033599,0.7697368421052632,0.7711750077528968
117,0.6608187134502924,0.6796796180762308,0.6608187134502924,0.6541059626822685
122,0.8275862068965517,0.8449467681297449,0.8275862068965517,0.8239260446462148
130,0.8012048192771084,0.8347201968862524,0.8012048192771084,0.801871891005205
131,0.8432432432432433,0.8566296874481018,0.8432432432432433,0.8405420739524885
150,0.8590604026845637,0.8785571881451805,0.8590604026845637,0.855527330927288
152,0.6946564885496184,0.7063313919539832,0.6946564885496184,0.6874492195150452
158,0.8095238095238095,0.8427463878702597,0.8095238095238095,0.8029512950652261
161,0.9207920792079208,0.9296293933173092,0.9207920792079208,0.9174375821859323
170,0.8322981366459627,0.8423355768606487,0.8322981366459627,0.8299282285911244
175,0.8076923076923077,0.8169408116592478,0.8076923076923077,0.8060633986990968
