fold,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
0,0.8140234516843607,0.8295590331621258,0.8140234516843607,0.8105445646858571,0.25560383223535393,0.5658919621699585,0.8169996421605512,0.8211029856255967,0.819007561270598
1,0.8369400304554313,0.8529824284321,0.8369400304554313,0.8347314232037772,0.24091277284783935,0.5499361120126477,0.8377947313101322,0.8390767825921834,0.8384301174293893
2,0.8108692539221426,0.8286385205780469,0.8108692539221426,0.8083452163871556,0.26972591496850656,0.6027252328164143,0.8127471881944432,0.8150946060348188,0.8139000126142717
3,0.8248188831269208,0.8394486617782719,0.8248188831269208,0.8214476671104443,0.24984341111398906,0.5558352370505861,0.8248188831269208,0.8273593697337208,0.8260773461458149
4,0.8101500688768919,0.8309306108058505,0.8101500688768919,0.808278157975189,0.2678119420087509,0.5945507650703601,0.8112994941642484,0.8130236320952827,0.8121516542910815
5,0.7977933601681885,0.818804106997977,0.7977933601681885,0.795271147045458,0.26645449507125507,0.5944822312904589,0.8070726171036956,0.8158227735101018,0.811354737800022
6,0.831544751075213,0.8525028718155895,0.831544751075213,0.8296465671176237,0.24322034389531857,0.5598980431032013,0.831544751075213,0.8324793305144652,0.8320087957273415
7,0.778630153962597,0.7998680366194535,0.778630153962597,0.7753911516377802,0.2955830082272549,0.6472160030877375,0.780160766207495,0.7879838954591957,0.7838968811489672
8,0.8382411920705783,0.8545928833415573,0.8382411920705783,0.8352031400680795,0.22878982092696964,0.5215977188087834,0.8392425905322705,0.845621759013951,0.8423617967913606
9,0.7990488388980281,0.8174625453778838,0.7990488388980281,0.7972244396290357,0.2722362784562873,0.6078882852506823,0.8031444020379599,0.8109715036267472,0.806964876500549
