,accuracy,precision,recall,f1
15,0.8709677419354839,0.8787646572276553,0.8709677419354839,0.8693616150685041
21,0.7777777777777778,0.8050815109638639,0.7777777777777778,0.7703489193367736
52,0.8515625,0.8689407796307109,0.8515625,0.8486710357172595
61,0.5315315315315315,0.5472329472329472,0.5315315315315315,0.5167444887247149
72,0.8515625,0.8689407796307109,0.8515625,0.8486710357172595
75,0.8905109489051095,0.9062783813784521,0.8905109489051095,0.8855575562771654
83,0.8011363636363636,0.8214580873671783,0.8011363636363636,0.8013695275801695
87,0.8878504672897196,0.9141546304163126,0.8878504672897196,0.8820975211995579
92,0.926829268292683,0.9390660505983941,0.926829268292683,0.9250805009868607
93,0.8924731182795699,0.9096122515477356,0.8924731182795699,0.8878426924267331
1,0.8869565217391304,0.9048348346096057,0.8869565217391304,0.8810327218192866
2,0.6395348837209303,0.6572776858344574,0.6395348837209303,0.6333574062786429
3,0.8411214953271028,0.8738123052959502,0.8411214953271028,0.8339795072381918
4,0.7610619469026548,0.799941742724776,0.7610619469026548,0.7577932495912206
5,0.9565217391304348,0.9624554968173482,0.9565217391304348,0.9563292559836953
6,0.5486725663716814,0.5747279442750551,0.5486725663716814,0.539534458885782
7,0.896774193548387,0.9181600656734896,0.896774193548387,0.8931374340725438
8,0.8666666666666667,0.9023608403725362,0.8666666666666667,0.8627248000649534
9,0.7107438016528925,0.7212212364284557,0.7107438016528925,0.7055447242083112
10,0.8646616541353384,0.8792993235777615,0.8646616541353384,0.8631174675464924
11,0.7569444444444444,0.7733643397621892,0.7569444444444444,0.7477952670967377
12,0.8627450980392157,0.8767227784255647,0.8627450980392157,0.8564559575670131
13,0.8061224489795918,0.8136371773589819,0.8061224489795918,0.7983098885632313
14,0.8425925925925926,0.8857744107744107,0.8425925925925926,0.8345412882559109
16,0.808,0.8193128338086596,0.808,0.8030060606060606
17,0.9397590361445783,0.9476590184266478,0.9397590361445783,0.9395059214501367
18,0.7863247863247863,0.8156299117837579,0.7863247863247863,0.7783674994377335
19,0.7578947368421053,0.8048604118993135,0.7578947368421053,0.7554722905645139
20,0.85,0.8753376767837279,0.85,0.8431891192317721
22,0.8181818181818182,0.8385754675946063,0.8181818181818182,0.8065398123437557
23,0.8316831683168316,0.8402948189555797,0.8316831683168316,0.824099564693624
24,0.8977272727272727,0.921416083916084,0.8977272727272727,0.8945843194251513
25,0.8405797101449275,0.8611500701262271,0.8405797101449275,0.835671314280033
26,0.7058823529411765,0.7175965038421785,0.7058823529411765,0.702411034311977
27,0.8404255319148937,0.8794126273129634,0.8404255319148937,0.8344808905017144
28,0.8282828282828283,0.8370950332672821,0.8282828282828283,0.8208762617853527
29,0.8061224489795918,0.8136371773589819,0.8061224489795918,0.7983098885632313
30,0.7931034482758621,0.8222814115055496,0.7931034482758621,0.787102544500299
31,0.85,0.8753376767837279,0.85,0.8431891192317721
32,0.7217391304347827,0.7583141517891534,0.7217391304347827,0.7180925055545886
33,0.8,0.8157943001274042,0.8,0.7902817217020003
34,0.7863247863247863,0.8156299117837579,0.7863247863247863,0.7783674994377335
35,0.8440366972477065,0.8868223519599666,0.8440366972477065,0.8369024852875621
36,0.8842105263157894,0.8927693470900745,0.8842105263157894,0.8795978317887743
37,0.8627450980392157,0.8767227784255647,0.8627450980392157,0.8564559575670131
38,0.8189655172413793,0.8455450469248911,0.8189655172413793,0.8155130965343216
39,0.8311688311688312,0.8484848484848484,0.8311688311688312,0.82910542652579
40,0.5398230088495575,0.5660287428978306,0.5398230088495575,0.5308322952987455
41,0.8923076923076924,0.9093638668591231,0.8923076923076924,0.8903114876445285
42,0.7796610169491526,0.8066049598950894,0.7796610169491526,0.7715996669299233
43,0.8709677419354839,0.8787646572276553,0.8709677419354839,0.8693616150685041
44,0.7391304347826086,0.7722512077294685,0.7391304347826086,0.7339333271284193
45,0.7578947368421053,0.8048604118993135,0.7578947368421053,0.7554722905645139
46,0.8766233766233766,0.8951793741972314,0.8766233766233766,0.8735467217144767
47,0.875,0.8929860832360239,0.875,0.8726141327252708
