,gini_index,entropy,purity,inverse_purity,f_measure
15,0.191451355661882,0.4568486635758695,0.8842975206611571,0.8842975206611571,0.8842975206611571
21,0.15333535578251928,0.3647074853225096,0.9015151515151515,0.9015151515151515,0.9015151515151515
52,0.1989397456775579,0.45695927437844064,0.8721804511278195,0.8721804511278195,0.8721804511278195
61,0.26257025686091423,0.5960952637038345,0.8319327731092437,0.8319327731092437,0.8319327731092437
72,0.3267026931450232,0.6856108263374093,0.7122302158273381,0.7841726618705036,0.7464720531267294
75,0.31562099033161656,0.6658407194935821,0.7419354838709677,0.7483870967741936,0.7451473257924871
83,0.22635529608006671,0.4836431965613309,0.8440366972477065,0.8440366972477065,0.8440366972477065
87,0.19382171226831418,0.43496034536267464,0.8737864077669902,0.8737864077669902,0.8737864077669902
92,0.3478407557354926,0.7375600373527352,0.7368421052631579,0.7684210526315789,0.7523003312476996
93,0.24104148278905563,0.5502986794767856,0.8446601941747572,0.8446601941747572,0.8446601941747571
1,0.1710923600737481,0.45052306176635504,0.896774193548387,0.896774193548387,0.896774193548387
2,0.10316664094253225,0.26687138079910033,0.9407894736842105,0.9407894736842105,0.9407894736842105
3,0.1989397456775579,0.45695927437844064,0.8721804511278195,0.8721804511278195,0.8721804511278195
4,0.1198495943004156,0.27007485362631967,0.9202453987730062,0.9202453987730062,0.9202453987730062
5,0.2108850441541381,0.4813532263883906,0.8515625,0.8515625,0.8515625
6,0.2917745072514817,0.6410372032917581,0.7664670658682635,0.7664670658682635,0.7664670658682635
7,0.17124116896455144,0.40203802190165294,0.8937007874015748,0.8937007874015748,0.8937007874015748
8,0.17658541055718469,0.3934422461758461,0.88125,0.88125,0.88125
9,0.09529385524701682,0.27070334024848647,0.9467213114754098,0.9467213114754098,0.9467213114754098
10,0.39398811742062956,0.8136717582836686,0.6782006920415224,0.6920415224913494,0.6850512040823459
11,0.4007131579575538,0.8337064561334679,0.6864406779661016,0.7372881355932204,0.710956416464891
12,0.21507869495485596,0.49879280216385286,0.8627450980392157,0.8627450980392157,0.8627450980392157
13,0.37271557271557276,0.7832930484367534,0.7207207207207207,0.7027027027027027,0.71159767362299
14,0.20497413191910346,0.4601540082719956,0.8709677419354839,0.8709677419354839,0.8709677419354839
16,0.07899168360051179,0.2297739446891232,0.9563106796116505,0.9563106796116505,0.9563106796116505
17,0.2549262680278723,0.5501561775501529,0.8181818181818182,0.8181818181818182,0.8181818181818182
18,0.26772112849373153,0.5889409692009127,0.8022388059701493,0.8022388059701493,0.8022388059701493
19,0.1792963100003363,0.4360295019356144,0.8905109489051095,0.8905109489051095,0.8905109489051094
20,0.3465780824751109,0.7358294472451044,0.7536945812807881,0.7536945812807881,0.7536945812807881
22,0.18521524126672212,0.4334606051295742,0.8869565217391304,0.8869565217391304,0.8869565217391304
23,0.30166085250831015,0.6569382866025891,0.788135593220339,0.788135593220339,0.788135593220339
24,0.32684172864085254,0.6925932248156446,0.7331081081081081,0.7567567567567568,0.7447447447447448
25,0.21003468853808385,0.4972782263865542,0.8706896551724138,0.8706896551724138,0.8706896551724138
26,0.2716426304583618,0.5701145926767749,0.7876712328767124,0.815068493150685,0.8011356983959723
27,0.2455032495419148,0.5172735732933345,0.8125,0.8125,0.8125
28,0.3033176308401705,0.6704274935447113,0.8,0.8,0.8000000000000002
29,0.16539808870424977,0.40489862679008615,0.8955223880597015,0.8955223880597015,0.8955223880597015
30,0.3162693171557983,0.6722180282035495,0.7557251908396947,0.7557251908396947,0.7557251908396946
31,0.3308891009040934,0.6832753197966133,0.7363636363636363,0.7272727272727273,0.7317899491812536
32,0.16930837028128315,0.38537476146172234,0.8938053097345132,0.8938053097345132,0.8938053097345132
33,0.18732408614051688,0.47273429330859024,0.8848920863309353,0.8848920863309353,0.8848920863309353
34,0.3174077781512023,0.6746666655492928,0.7636363636363637,0.7636363636363637,0.7636363636363637
35,0.15168679536009208,0.4119269474461905,0.9136690647482014,0.9136690647482014,0.9136690647482014
36,0.345871634196745,0.7161076870968575,0.711340206185567,0.7061855670103093,0.7087535145267104
37,0.25594388429439974,0.5504789738250275,0.8041237113402062,0.8041237113402062,0.8041237113402062
38,0.3601219413385188,0.754716890765835,0.71900826446281,0.7520661157024794,0.735165753551862
39,0.22256739444770723,0.5257312878471434,0.8670520231213873,0.8670520231213873,0.8670520231213873
40,0.3382960263751519,0.7235640057212015,0.7610619469026548,0.7522123893805309,0.7566112922424054
41,0.26965900328570935,0.6295252768713134,0.8192090395480226,0.8192090395480226,0.8192090395480226
42,0.21003468853808385,0.4972782263865542,0.8706896551724138,0.8706896551724138,0.8706896551724138
43,0.3928110122690618,0.8099411260858458,0.6735751295336787,0.7046632124352331,0.6887685535081226
44,0.22845117845117843,0.4881213743072692,0.8425925925925926,0.8425925925925926,0.8425925925925926
45,0.28125886212422496,0.6292174576189167,0.8130081300813008,0.8130081300813008,0.8130081300813008
46,0.12332947255880257,0.2896696655822354,0.9262295081967213,0.9262295081967213,0.9262295081967213
47,0.07508900636530368,0.18962281581496498,0.9565217391304348,0.9565217391304348,0.9565217391304348
48,0.2108682983682984,0.49115910817477115,0.8653846153846154,0.8653846153846154,0.8653846153846154
49,0.1185030461816176,0.29446843962222913,0.9285714285714286,0.9285714285714286,0.9285714285714286
50,0.3190721649484536,0.6727610925935199,0.7525773195876289,0.7938144329896907,0.7726460481099657
51,0.24106795961488311,0.5186196156043589,0.8157894736842105,0.7894736842105263,0.8024158757549612
53,0.2948082677452687,0.6108527656090632,0.7653061224489796,0.7551020408163265,0.7601698397479798
54,0.29502603640534675,0.6380872185622454,0.7844827586206896,0.7844827586206896,0.7844827586206896
55,0.2822965937825376,0.5897119053807267,0.7873015873015873,0.7873015873015873,0.7873015873015873
56,0.2747196440933045,0.6121912225379496,0.811965811965812,0.811965811965812,0.811965811965812
57,0.1772479318924754,0.42232539933081786,0.8837209302325582,0.8837209302325582,0.8837209302325582
58,0.2401019541206457,0.5078066157519736,0.8317757009345794,0.8317757009345794,0.8317757009345794
59,0.2823224261771748,0.6157594145941363,0.7877094972067039,0.7877094972067039,0.7877094972067039
60,0.24106795961488311,0.5186196156043589,0.8157894736842105,0.7894736842105263,0.8024158757549612
62,0.21985926018184085,0.48187375020047823,0.8513513513513513,0.8513513513513513,0.8513513513513514
63,0.18732408614051688,0.47273429330859024,0.8848920863309353,0.8848920863309353,0.8848920863309353
64,0.31040007510595746,0.6702127187135256,0.7777777777777778,0.7777777777777778,0.7777777777777778
65,0.22962021293500715,0.5052269213023509,0.85,0.85,0.85
66,0.3265187762795418,0.7093665417651175,0.7777777777777778,0.797979797979798,0.7877492877492879
67,0.1859133891896364,0.4368535018819653,0.8860759493670886,0.8860759493670886,0.8860759493670886
68,0.3601219413385188,0.754716890765835,0.71900826446281,0.7520661157024794,0.735165753551862
69,0.21507869495485596,0.49879280216385286,0.8627450980392157,0.8627450980392157,0.8627450980392157
70,0.19382171226831418,0.43496034536267464,0.8737864077669902,0.8737864077669902,0.8737864077669902
71,0.2182157777715931,0.49049937259366927,0.8571428571428571,0.8571428571428571,0.8571428571428571
73,0.19021849479463884,0.4500136297548943,0.875968992248062,0.875968992248062,0.875968992248062
74,0.21003468853808385,0.4972782263865542,0.8706896551724138,0.8706896551724138,0.8706896551724138
76,0.180108157796945,0.440711959236176,0.8913043478260869,0.8913043478260869,0.8913043478260869
77,0.11449324086895238,0.2909071046023468,0.934640522875817,0.934640522875817,0.934640522875817
78,0.19848482686792884,0.45488665821696994,0.8721804511278195,0.8721804511278195,0.8721804511278195
79,0.31991774891774893,0.6904918150754308,0.78,0.8,0.7898734177215191
80,0.09979338842975205,0.2502488320933474,0.9431818181818182,0.9431818181818182,0.9431818181818182
81,0.15485665954415956,0.3933989499835787,0.9086538461538461,0.9086538461538461,0.9086538461538461
82,0.22743251130148254,0.5274594189734276,0.847953216374269,0.847953216374269,0.847953216374269
84,0.21598256641366226,0.499642038901282,0.8602941176470589,0.8602941176470589,0.8602941176470589
85,0.33782261760539456,0.704664078442787,0.71875,0.75,0.7340425531914894
86,0.13830171635049682,0.3462520055489482,0.9170731707317074,0.9170731707317074,0.9170731707317074
88,0.2533988751605332,0.537458762056338,0.8082901554404145,0.8082901554404145,0.8082901554404145
89,0.19864176570458403,0.41359188907904004,0.8548387096774194,0.8548387096774194,0.8548387096774194
90,0.22635529608006671,0.4836431965613309,0.8440366972477065,0.8440366972477065,0.8440366972477065
91,0.2450141310723617,0.5821234854884856,0.8404255319148937,0.8404255319148937,0.8404255319148938
94,0.2691168808452104,0.5998166539902021,0.8212765957446808,0.8212765957446808,0.8212765957446808
95,0.26272727272727275,0.5814809524594505,0.82,0.84,0.8298795180722892
96,0.3296054928763187,0.6989187655318554,0.7288135593220338,0.7559322033898305,0.7421252225059979
97,0.2925558773036103,0.6284460019815006,0.7636363636363637,0.7636363636363637,0.7636363636363637
98,0.42367811749205614,0.8592234749119825,0.6467391304347826,0.6521739130434783,0.649445151901037
99,0.4043897079800181,0.8227412681578857,0.6551724137931034,0.7011494252873564,0.6773816481589714
100,0.1333051563820795,0.3030468637819359,0.9120879120879121,0.9120879120879121,0.9120879120879121
