fold,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
0,0.8087811924825822,0.8277673004438448,0.8087811924825822,0.8061233085863859,0.2682518561702446,0.5992537343228548,0.8100036863701124,0.8166711699894773,0.8132678365025349
1,0.8411821993177486,0.8626139937366315,0.8411821993177486,0.8403242139205688,0.2311111244076261,0.5407192374471832,0.8411821993177486,0.8431052762408255,0.8421304446208326
2,0.8332493767402213,0.8506409995261212,0.8332493767402213,0.8312262818199938,0.243318294427955,0.551409797071446,0.8332493767402213,0.8347040305313236,0.8339732745616211
3,0.7699748875494881,0.789025833497258,0.7699748875494881,0.7658651623453558,0.3083012195577819,0.6686191030507478,0.7735917008437208,0.7813531866697228,0.7773571476001865
4,0.801174779925165,0.820205728386474,0.801174779925165,0.7976526315727801,0.2699406469858732,0.599482947002771,0.8049014879996991,0.8132311380489389,0.8089626775374688
5,0.7950940543846596,0.8154427109619107,0.7950940543846596,0.7932504847005802,0.28601658205897573,0.6359204470617403,0.7950940543846596,0.7981804741377461,0.7966052474587849
6,0.7475955669242569,0.7673220493324915,0.7475955669242569,0.7432759591157219,0.3252836757377021,0.6954865132579916,0.7581353826057313,0.7698516688754412,0.7638294475129301
7,0.8179801250088611,0.8380091570205881,0.8179801250088611,0.8139431406782309,0.25766829914988104,0.5746214616808227,0.81854192276167,0.8223435179179838,0.8204177156839849
8,0.8035211447076808,0.8309796952884602,0.8035211447076808,0.8012995298927057,0.27631364155071797,0.6182848139785257,0.8035211447076808,0.8035211447076808,0.8035211447076808
9,0.8116460684214534,0.8283312362766744,0.8116460684214534,0.8082821382752409,0.2608699961269226,0.5792098907413002,0.8143487711241562,0.8205602457566833,0.8173896118208044
