,accuracy,precision,recall,f1
15,0.8842975206611571,0.8895940263882848,0.8842975206611571,0.883076086365984
21,0.9015151515151515,0.9189334951292683,0.9015151515151515,0.8999029329843283
52,0.8721804511278195,0.8961643740688126,0.8721804511278195,0.8696513681137304
61,0.8319327731092437,0.8474922648798081,0.8319327731092437,0.8217599059384051
72,0.7122302158273381,0.7341306678159776,0.7122302158273381,0.7022294090414336
75,0.7419354838709677,0.7595512559862655,0.7419354838709677,0.7373257049033762
83,0.8440366972477065,0.8868223519599666,0.8440366972477065,0.8369024852875621
87,0.8737864077669902,0.8852603706972639,0.8737864077669902,0.8672244328104967
92,0.7368421052631579,0.7564439946018894,0.7368421052631579,0.7224924379915306
93,0.8446601941747572,0.8547219770520741,0.8446601941747572,0.8376208498197106
1,0.896774193548387,0.9181600656734896,0.896774193548387,0.8931374340725438
2,0.9407894736842105,0.9480179554457993,0.9407894736842105,0.9393662667523627
3,0.8721804511278195,0.8961643740688126,0.8721804511278195,0.8696513681137304
4,0.9202453987730062,0.9400752028497923,0.9202453987730062,0.9170771861146999
5,0.8515625,0.8689407796307109,0.8515625,0.8486710357172595
6,0.7664670658682635,0.7935382432066814,0.7664670658682635,0.7647024701830903
7,0.8937007874015748,0.9123253244530204,0.8937007874015748,0.8920431211829617
8,0.88125,0.8954572947214077,0.88125,0.8792945929455257
9,0.9467213114754098,0.9539794059700383,0.9467213114754098,0.947361378862319
10,0.615916955017301,0.6453895329645699,0.615916955017301,0.6095526975386606
11,0.6864406779661016,0.7292655348286841,0.6864406779661016,0.6713445895185534
12,0.8627450980392157,0.8767227784255647,0.8627450980392157,0.8564559575670131
13,0.5315315315315315,0.5472329472329472,0.5315315315315315,0.5167444887247149
14,0.8709677419354839,0.8787646572276553,0.8709677419354839,0.8693616150685041
16,0.9563106796116505,0.9617177504327538,0.9563106796116505,0.9563617678616104
17,0.8181818181818182,0.8404513044887376,0.8181818181818182,0.812844946258619
18,0.8022388059701493,0.8220266165706529,0.8022388059701493,0.7995581394206575
19,0.8905109489051095,0.9062783813784521,0.8905109489051095,0.8855575562771654
20,0.7536945812807881,0.7788588479514907,0.7536945812807881,0.7503901001625579
22,0.8869565217391304,0.9048348346096057,0.8869565217391304,0.8810327218192866
23,0.788135593220339,0.8170639674876964,0.788135593220339,0.779550292962231
24,0.7027027027027027,0.7271087230176717,0.7027027027027027,0.6983589357180164
25,0.8706896551724138,0.8910103771643589,0.8706896551724138,0.8639281720497691
26,0.7876712328767124,0.8019121841481541,0.7876712328767124,0.7813174090676362
27,0.8125,0.8381858752290426,0.8125,0.8071143230019281
28,0.8,0.8157943001274042,0.8,0.7902817217020003
29,0.8955223880597015,0.9123937299895661,0.8955223880597015,0.8925700156409816
30,0.7557251908396947,0.7715758918910851,0.7557251908396947,0.7533260632497274
31,0.7272727272727273,0.7871246195084276,0.7272727272727273,0.7212727272727273
32,0.8938053097345132,0.9153458148593585,0.8938053097345132,0.8887109612773331
33,0.8848920863309353,0.9067530095030675,0.8848920863309353,0.8793959004942374
34,0.7636363636363637,0.7819524174906263,0.7636363636363637,0.7580912074460874
35,0.9136690647482014,0.9252634091821564,0.9136690647482014,0.9133185456518209
36,0.7061855670103093,0.7308494761894916,0.7061855670103093,0.7013280171714016
37,0.8041237113402062,0.8284581397983459,0.8041237113402062,0.7987002468070669
38,0.7107438016528925,0.7212212364284557,0.7107438016528925,0.7055447242083112
39,0.8670520231213873,0.8722416274269384,0.8670520231213873,0.8667382546246581
40,0.584070796460177,0.6068540690612528,0.584070796460177,0.5771011542187269
41,0.8192090395480226,0.8373639344691705,0.8192090395480226,0.8197233087063595
42,0.8706896551724138,0.8910103771643589,0.8706896551724138,0.8639281720497691
43,0.6424870466321243,0.6652488407377373,0.6424870466321243,0.6361285472348783
44,0.8425925925925926,0.8857744107744107,0.8425925925925926,0.8345412882559109
45,0.8130081300813008,0.8265230268401754,0.8130081300813008,0.8034650441099626
46,0.9262295081967213,0.9312076799714897,0.9262295081967213,0.9256200289791181
47,0.9565217391304348,0.9624554968173482,0.9565217391304348,0.9563292559836953
48,0.8653846153846154,0.8778700466200464,0.8653846153846154,0.8582813613013212
49,0.9285714285714286,0.9403774193952765,0.9285714285714286,0.9251484250425526
50,0.7525773195876289,0.7634879725085911,0.7525773195876289,0.7449551854379612
51,0.7807017543859649,0.8215822826354997,0.7807017543859649,0.7777906147482527
53,0.7551020408163265,0.7957003806604517,0.7551020408163265,0.7532648957467232
54,0.7844827586206896,0.818501570656743,0.7844827586206896,0.7776612707246228
55,0.7873015873015873,0.8040545249782197,0.7873015873015873,0.7851918124755589
56,0.811965811965812,0.8386947127123361,0.811965811965812,0.8065352262406961
57,0.8837209302325582,0.9018148202208924,0.8837209302325582,0.8815722801349372
58,0.8317757009345794,0.8799490229396771,0.8317757009345794,0.8228135466617029
59,0.7877094972067039,0.8043196328810853,0.7877094972067039,0.7855866156697212
60,0.7807017543859649,0.8215822826354997,0.7807017543859649,0.7777906147482527
62,0.8513513513513513,0.8607910906298004,0.8513513513513513,0.8477894121301829
63,0.8848920863309353,0.9067530095030675,0.8848920863309353,0.8793959004942374
64,0.7777777777777778,0.8050815109638639,0.7777777777777778,0.7703489193367736
65,0.85,0.8753376767837279,0.85,0.8431891192317721
66,0.7777777777777778,0.7966909928632416,0.7777777777777778,0.7630104463437796
67,0.8860759493670886,0.9070433054051819,0.8860759493670886,0.8802954150590041
68,0.7107438016528925,0.7212212364284557,0.7107438016528925,0.7055447242083112
69,0.8627450980392157,0.8767227784255647,0.8627450980392157,0.8564559575670131
70,0.8737864077669902,0.8852603706972639,0.8737864077669902,0.8672244328104967
71,0.8571428571428571,0.8818974021194945,0.8571428571428571,0.8555126868174795
73,0.875968992248062,0.8912762378628845,0.875968992248062,0.8737311095450632
74,0.8706896551724138,0.8910103771643589,0.8706896551724138,0.8639281720497691
76,0.8913043478260869,0.9081661092530657,0.8913043478260869,0.8865734755488089
77,0.934640522875817,0.9375128449132245,0.934640522875817,0.9343268539025529
78,0.8721804511278195,0.8963918334736272,0.8721804511278195,0.8698533165491438
79,0.78,0.7935649350649351,0.78,0.7722870341041073
80,0.9431818181818182,0.9501033057851239,0.9431818181818182,0.9426191240295861
81,0.9086538461538461,0.922019675925926,0.9086538461538461,0.9065821601215374
82,0.847953216374269,0.8838500686967128,0.847953216374269,0.8430451813467589
84,0.8602941176470589,0.885680443548387,0.8602941176470589,0.8573398737485425
85,0.70625,0.7229290257292849,0.70625,0.699313220265275
86,0.9170731707317074,0.9296747967479675,0.9170731707317074,0.9158170380552016
88,0.8082901554404145,0.8334440458792791,0.8082901554404145,0.8029759303684018
