fold,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
0,0.8235472236369971,0.8461177128850473,0.8235472236369971,0.8191548629472037,0.24536197421440306,0.5496044896709755,0.8295589538422756,0.8316099718794947,0.83056319264751
1,0.8256441399764763,0.8486415839514684,0.8256441399764763,0.8206726250639809,0.24040656079024977,0.5315204863808309,0.8289488307684624,0.8348300193055038,0.8317796263491544
2,0.7886257983910137,0.8094086206617935,0.7886257983910137,0.7831736287952604,0.26761486428285636,0.5807513984102495,0.805238979289909,0.8093428523078678,0.8072413548014381
3,0.7941574608806979,0.8127717597692488,0.7941574608806979,0.7889191495713711,0.2713938716093396,0.5922570999953309,0.8023997034657552,0.8094533021506012,0.8058207169133867
4,0.8094683781976463,0.8301265312121764,0.8094683781976463,0.8044621079978644,0.24944433053420176,0.5501791099704602,0.8192695773267005,0.8260006207969415,0.8225119726210538
5,0.8078648232101729,0.8304316695529962,0.8078648232101729,0.8029138478004886,0.265686976778981,0.5839502056370032,0.8095812885630019,0.8143769117654656,0.8119103991889248
6,0.8032332910198934,0.8222115537186204,0.8032332910198934,0.7989805948367111,0.25904382452569874,0.5681066553834712,0.8139339464304016,0.8165971011827569,0.8152385850122774
7,0.7971668393745972,0.8196021278717904,0.7971668393745972,0.7912668836072435,0.2617532964976598,0.5734171803355254,0.8132683160581734,0.8172934631041545,0.8151627956623427
8,0.8028284272367435,0.8263226263649384,0.8028284272367435,0.797872297443758,0.26451948477527654,0.5792705376898494,0.8100449444796212,0.8151739818821319,0.8125443808774164
9,0.8299765737694298,0.8499381368599455,0.8299765737694298,0.8256240231326929,0.22589159106590417,0.5053789432072798,0.841600150309966,0.8446324003736745,0.843050315442355
