,accuracy,precision,recall,f1
158,0.6233766233766234,0.6465121195222646,0.6233766233766234,0.6169308758722678
161,0.8794642857142857,0.9091198979591837,0.8794642857142857,0.8777549259078592
170,0.7262569832402235,0.7466419723099345,0.7262569832402235,0.7237385972422783
175,0.7079207920792079,0.7224083847063952,0.7079207920792079,0.704732814191687
188,0.9121621621621622,0.9207491702228544,0.9121621621621622,0.9122446720722673
189,0.8373205741626795,0.8676236044657096,0.8373205741626795,0.8388951671012457
190,0.8754863813229572,0.8855866895750165,0.8754863813229572,0.8730887378520803
192,0.6466165413533834,0.6721847366415067,0.6466165413533834,0.6407268515459382
203,0.758364312267658,0.7705067086381464,0.758364312267658,0.7558746065789906
204,0.8270042194092827,0.8394651495188157,0.8270042194092827,0.8238793154068925
208,0.88,0.8929272690843519,0.88,0.8770148125236278
211,0.9205607476635514,0.9344646477490269,0.9205607476635514,0.9215473629253177
215,0.7256637168141593,0.7385834054005521,0.7256637168141593,0.7190521006706382
218,0.9029535864978903,0.9128283437144197,0.9029535864978903,0.9013534989536173
219,0.8269230769230769,0.8347702906526436,0.8269230769230769,0.8257901522183198
220,0.811965811965812,0.8257034153777885,0.811965811965812,0.8098123244325074
226,0.9044943820224719,0.9143052362153488,0.9044943820224719,0.8992914373920182
234,0.9056603773584906,0.9111213987659516,0.9056603773584906,0.9041709843663976
236,0.8158995815899581,0.8288918179783394,0.8158995815899581,0.8151008260921505
244,0.7734375,0.7888310185185186,0.7734375,0.7694934761824849
249,0.8267326732673267,0.8343768200349446,0.8267326732673267,0.8254278724566392
252,0.8888888888888888,0.8970107478728168,0.8888888888888888,0.8874980901451488
256,0.9141104294478528,0.9240509248581578,0.9141104294478528,0.9135193818625593
260,0.8354430379746836,0.8585058436384784,0.8354430379746836,0.8282920628321988
1,0.8322147651006712,0.8518055120404113,0.8322147651006712,0.8319741183101256
3,0.7281553398058253,0.7602278180053614,0.7281553398058253,0.7216368768033936
4,0.8851063829787233,0.8933826780187967,0.8851063829787233,0.8845621341427883
5,0.7662337662337663,0.7810419929181976,0.7662337662337663,0.7620548133759061
6,0.8114285714285714,0.8357317073170731,0.8114285714285714,0.804818715317306
7,0.7298850574712644,0.7716393527472469,0.7298850574712644,0.7298232883394132
8,0.6754966887417219,0.6895485765661604,0.6754966887417219,0.6692782427934935
9,0.8944723618090452,0.9202361011406237,0.8944723618090452,0.8942476579485152
10,0.7934782608695652,0.8133857221818492,0.7934782608695652,0.7849819970614
11,0.8265682656826568,0.853845430120504,0.8265682656826568,0.8228052619301702
12,0.7108433734939759,0.7265153409731723,0.7108433734939759,0.7076875289960187
13,0.8986784140969163,0.9093643077768857,0.8986784140969163,0.8980918789257288
14,0.8497409326424871,0.8629820658661084,0.8497409326424871,0.8442934638125523
16,0.8116883116883117,0.8333049799933735,0.8116883116883117,0.806914720647115
17,0.8333333333333334,0.858208211769729,0.8333333333333334,0.8265808203649401
18,0.7416267942583732,0.7586612911322992,0.7416267942583732,0.7366089862108182
19,0.7914110429447853,0.8278704206179118,0.7914110429447853,0.7859442617958959
20,0.8766233766233766,0.9021456237997593,0.8766233766233766,0.876752067682043
23,0.8056872037914692,0.8311408180427343,0.8056872037914692,0.7981520301255322
24,0.7853403141361257,0.801788152779634,0.7853403141361257,0.7827468598808649
25,0.7463414634146341,0.762808578732705,0.7463414634146341,0.7419257273127694
26,0.8449197860962567,0.8724420677361853,0.8449197860962567,0.8442748794175383
27,0.7840909090909091,0.8131432246998284,0.7840909090909091,0.779236880329908
28,0.86,0.8696125696300553,0.86,0.8572022163196235
29,0.7417218543046358,0.7551972358191765,0.7417218543046358,0.7373361089519935
30,0.7349397590361446,0.75368753876074,0.7349397590361446,0.7324324773495374
31,0.8396501457725948,0.8570229200886227,0.8396501457725948,0.8352337242969187
32,0.8149466192170819,0.8432110396814907,0.8149466192170819,0.8112466468838521
33,0.764102564102564,0.7939681160711634,0.764102564102564,0.7484792520419791
34,0.7804878048780488,0.8037019435380907,0.7804878048780488,0.7715673986224582
35,0.8826530612244898,0.8940475767210817,0.8826530612244898,0.8814771639417542
36,0.8325123152709359,0.8434763287456757,0.8325123152709359,0.8308633919206613
37,0.9142857142857143,0.9223824513082827,0.9142857142857143,0.9134194014545256
39,0.7242990654205608,0.7489342515166421,0.7242990654205608,0.7196583252096924
40,0.8756476683937824,0.8963187762151492,0.8756476683937824,0.8763158318730091
41,0.6641221374045801,0.67865394971919,0.6641221374045801,0.6603679467287487
42,0.8687782805429864,0.8831388625373188,0.8687782805429864,0.8675465671166639
43,0.6492890995260664,0.6662890396163327,0.6492890995260664,0.644850370336776
44,0.7804878048780488,0.7966645126118579,0.7804878048780488,0.774960076928956
45,0.8807947019867549,0.9013413491403364,0.8807947019867549,0.8764041354560849
46,0.9253731343283582,0.9417110315448812,0.9253731343283582,0.9236127230793448
47,0.8373983739837398,0.8539968311654023,0.8373983739837398,0.8343801269892385
48,0.8200836820083682,0.8315068973675466,0.8200836820083682,0.8161437062519871
50,0.8963963963963963,0.9098610164786635,0.8963963963963963,0.8935225208497916
52,0.8390804597701149,0.8750844157702972,0.8390804597701149,0.840167663075141
54,0.8391959798994975,0.8677598518910341,0.8391959798994975,0.839685368629431
56,0.7177914110429447,0.744437858373003,0.7177914110429447,0.711292056683348
57,0.9071428571428571,0.9247058823529413,0.9071428571428571,0.9066073037230532
60,0.7062146892655368,0.7309966135100487,0.7062146892655368,0.70043611854495
61,0.6146788990825688,0.6384282807637058,0.6146788990825688,0.6094256818100889
62,0.8206521739130435,0.8343313291336919,0.8206521739130435,0.8188258714555987
63,0.8154761904761905,0.8345698655606407,0.8154761904761905,0.8078068245521075
65,0.7912621359223301,0.8213438436758981,0.7912621359223301,0.7891517849919263
66,0.8588235294117647,0.8680294875603672,0.8588235294117647,0.8570648192387322
67,0.7241379310344828,0.7427011494252873,0.7241379310344828,0.7216484070313511
68,0.827027027027027,0.8532575757575759,0.827027027027027,0.8260097135745459
69,0.7058823529411765,0.7232514850259879,0.7058823529411765,0.7033807037121524
70,0.8910256410256411,0.9083775070617176,0.8910256410256411,0.8867335410125102
71,0.7731958762886598,0.8138974427634222,0.7731958762886598,0.7676348296491202
73,0.8661087866108786,0.891734359690466,0.8661087866108786,0.8622294227678561
74,0.8354430379746836,0.8473496835443037,0.8354430379746836,0.8342735071896763
76,0.9344262295081968,0.9437358677218768,0.9344262295081968,0.9345875150861362
77,0.8,0.8341181041181042,0.8,0.8022737381569126
78,0.8385093167701864,0.8585890759803803,0.8385093167701864,0.8362874242182203
79,0.6077348066298343,0.6224175348761339,0.6077348066298343,0.5989492232871179
80,0.8461538461538461,0.8649776873380965,0.8461538461538461,0.8416360681593117
81,0.8125,0.8293414550734816,0.8125,0.8091682003770776
82,0.88,0.8947832961638761,0.88,0.8793970548889741
83,0.7176470588235294,0.7344273350567607,0.7176470588235294,0.7153412963847746
84,0.8648648648648649,0.8813543860881327,0.8648648648648649,0.8578708450431115
85,0.8818443804034583,0.8987571512787651,0.8818443804034583,0.8808075442916391
86,0.6684210526315789,0.6918007587650445,0.6684210526315789,0.6635840823170415
87,0.8117647058823529,0.825974025974026,0.8117647058823529,0.8101477249864346
90,0.824468085106383,0.8404604556200301,0.824468085106383,0.81910070353157
91,0.8530612244897959,0.8644337606837607,0.8530612244897959,0.8514501846475331
92,0.9202127659574468,0.9317511725005719,0.9202127659574468,0.9204155424240312
93,0.7248677248677249,0.7472686044114616,0.7248677248677249,0.7184028572955736
94,0.7647058823529411,0.7889381167214292,0.7647058823529411,0.7590279134774645
95,0.8434343434343434,0.8543924007338642,0.8434343434343434,0.8407495535151118
96,0.8269230769230769,0.8336024608131806,0.8269230769230769,0.8264197004590742
97,0.7931034482758621,0.8142154462154462,0.7931034482758621,0.7854417392780565
98,0.7125748502994012,0.7248980124883492,0.7125748502994012,0.7099728756745926
99,0.8168316831683168,0.8428762231061815,0.8168316831683168,0.8158451197814701
101,0.9146919431279621,0.9205938273174595,0.9146919431279621,0.9137308189440891
102,0.8414634146341463,0.8558240124731411,0.8414634146341463,0.8423837448053709
105,0.8118811881188119,0.8347098864615407,0.8118811881188119,0.8090814780707052
106,0.8051470588235294,0.8283469755826859,0.8051470588235294,0.8069241322039973
