,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
average_performance,0.808775747226792,0.8302147782119932,0.808775747226792,0.8040924053945677,,,,,
average_quality,,,,,0.2564510679333427,0.5646651648489484,0.8161283671556285,0.8201500687252563,0.8180845539741886
