fold,accuracy,precision,recall,f1,gini_index,entropy,purity,inverse_purity,f_measure
0,0.825481741069896,0.8412707307971129,0.825481741069896,0.8226379939448172,0.2482583025415966,0.5579140370913032,0.8273971867353417,0.8300898841088902,0.8287188393499937
1,0.8178440685245316,0.8340435911781595,0.8178440685245316,0.8148964417488,0.25978466304124787,0.5792802349335002,0.8187830356606819,0.82122698788427,0.8199886793800433
2,0.8039717145225402,0.8248673589019138,0.8039717145225402,0.8017746525103234,0.267133218540003,0.5945164981804094,0.8091860556339718,0.8144232028026923,0.8117531960455517
3,0.805087452518905,0.8261854542175214,0.805087452518905,0.8025188593777021,0.26940167606128673,0.6035570230954694,0.805852758641354,0.8102316129868304,0.8079528384381544
4,0.8186450154843034,0.8360277143597207,0.8186450154843034,0.8162137898485577,0.25051304969162846,0.5647430020297328,0.8211934962851153,0.8282966313203491,0.824663336645955
